host_name,host_acceptance_rate,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value
Zach,100,2.0,Queens,40.70324,-73.9034,Private room,1,1.0,1 shared bath,1.0,70.0,15,4.93,4.87,4.8,4.93,4.87,4.87
Gabriela,90,2.0,Queens,40.764149,-73.862167,Entire home/apt,4,1.0,1 bath,1.0,170.0,34,4.79,4.94,4.88,4.65,4.85,4.82
Teddy,50,5.0,Brooklyn,40.70222906856366,-73.94017337473886,Private room,2,1.0,1 private bath,1.0,105.0,24,4.96,4.96,4.91,4.92,4.54,4.92
Jeniffer,90,77.0,Manhattan,40.7189,-73.99588,Entire home/apt,2,1.0,1 bath,0.0,180.0,41,4.9,4.93,4.95,4.68,4.85,4.83
Duane,75,2.0,Manhattan,40.71914,-73.99648,Private room,1,1.0,1 private bath,1.0,225.0,9,5.0,4.89,4.89,5.0,5.0,4.89
Hilda,65,2.0,Brooklyn,40.68836,-73.97264,Entire home/apt,2,1.0,1 bath,1.0,105.0,8,5.0,5.0,5.0,5.0,5.0,4.88
Dorit,85,2.0,Manhattan,40.72939,-74.00203,Entire home/apt,2,1.0,1 bath,1.0,183.0,70,4.97,4.94,4.94,4.96,5.0,4.87
Mark,90,1.0,Queens,40.66574328964332,-73.81274825514527,Entire home/apt,2,1.0,1 bath,2.0,143.0,13,5.0,4.92,4.85,5.0,4.54,4.92
LuxuryStaysNYC,99,5.0,Manhattan,40.76860192867729,-73.9858899400772,Entire home/apt,4,1.0,1 bath,1.0,611.0,9,5.0,5.0,5.0,5.0,5.0,4.89
Nesva Hotel,100,15.0,Queens,40.75331,-73.93501,Hotel room,3,1.0,1 private bath,1.0,207.0,61,4.33,4.46,4.48,4.54,4.54,4.39
Gideon,11,2.0,Brooklyn,40.66151,-73.99362,Entire home/apt,5,1.0,1 bath,2.0,135.0,4,5.0,5.0,5.0,5.0,5.0,5.0
Caleb,0,1.0,Brooklyn,40.71668,-73.9573,Entire home/apt,2,1.0,1 bath,0.0,110.0,5,3.6,4.6,3.8,4.6,5.0,4.2
Jessica,100,1.0,Brooklyn,40.72262,-73.94949,Entire home/apt,6,3.0,3 baths,3.0,500.0,2,5.0,5.0,5.0,5.0,5.0,4.5
Geraldo,100,2.0,Manhattan,40.73623,-73.98776,Entire home/apt,2,1.5,1.5 baths,1.0,385.0,81,4.89,4.89,4.79,4.93,5.0,4.7
Michelle,100,12.0,Manhattan,40.7694,-73.99101,Private room,2,1.0,1 shared bath,1.0,138.0,44,4.73,4.73,4.8,4.89,4.98,4.7
June,72,1433.0,Manhattan,40.81164925295354,-73.95375229681525,Private room,1,0.0,0 shared baths,4.0,61.0,1,3.0,4.0,5.0,1.0,5.0,2.0
Shkedy,100,31.0,Manhattan,40.75223309828048,-73.97014013359767,Private room,2,1.0,1 bath,1.0,230.0,7,5.0,5.0,5.0,5.0,5.0,4.71
Olga,67,5.0,Brooklyn,40.60883,-73.94803,Entire home/apt,6,2.0,2 baths,3.0,255.0,10,4.7,5.0,4.8,4.8,4.7,4.8
Omer,88,2.0,Brooklyn,40.70719,-73.95392,Entire home/apt,2,1.0,1 bath,2.0,190.0,34,4.82,4.85,4.82,4.94,4.68,4.65
Noelva,100,2.0,Bronx,40.85477,-73.78871,Entire home/apt,2,1.0,1 bath,1.0,110.0,1,5.0,5.0,5.0,5.0,5.0,5.0
Alex & Family,0,6.0,Brooklyn,40.68126,-73.91374,Entire home/apt,6,1.0,1 bath,3.0,140.0,86,4.76,4.85,4.78,4.86,4.41,4.72
Juliana,100,2.0,Brooklyn,40.68901,-73.95278,Entire home/apt,8,2.0,2 baths,3.0,400.0,89,4.9,4.92,4.94,4.98,4.87,4.87
Eean,87,2.0,Bronx,40.87368,-73.87544,Private room,2,1.0,1 shared bath,1.0,50.0,4,4.25,4.5,4.5,5.0,4.25,4.5
Angela,65,6.0,Brooklyn,40.68291,-73.95493,Private room,2,1.0,1 shared bath,1.0,90.0,2,5.0,5.0,5.0,5.0,5.0,5.0
Adepeju,90,2.0,Queens,40.583801816730144,-73.81236126834288,Private room,2,1.0,1 bath,1.0,44.0,1,5.0,5.0,5.0,5.0,5.0,5.0
RoomPicks By Antony,96,2383.0,Manhattan,40.74898,-73.98746,Private room,2,1.0,1 bath,1.0,296.0,1,5.0,5.0,5.0,5.0,5.0,5.0
Heidi,99,6.0,Brooklyn,40.63557,-73.89422,Private room,2,1.0,1 shared bath,1.0,99.0,13,4.54,4.62,4.54,4.69,4.46,4.69
Aleph,7,93.0,Brooklyn,40.67984,-73.88426,Private room,1,2.0,2 shared baths,1.0,44.0,1,4.0,5.0,4.0,4.0,5.0,5.0
George,0,4.0,Brooklyn,40.68578,-73.96458,Private room,2,1.5,1.5 shared baths,1.0,100.0,58,4.62,4.75,4.67,4.79,4.8,4.73
Kia,65,4.0,Brooklyn,40.68025,-73.9187,Private room,1,1.0,1 shared bath,1.0,54.0,18,4.94,4.94,4.83,4.94,4.72,4.83
Stay With Vibe,74,330.0,Manhattan,40.74176,-73.97819,Entire home/apt,2,1.0,1 bath,1.0,111.0,20,4.4,4.35,4.25,4.7,4.7,4.25
Joanna & Brian,93,3.0,Brooklyn,40.68692,-73.96185,Private room,5,1.5,1.5 baths,1.0,178.0,295,4.95,4.96,4.94,4.98,4.96,4.89
Micheline,100,3.0,Queens,40.69112,-73.75455,Private room,2,1.0,1 shared bath,1.0,43.0,6,4.33,3.83,4.0,4.67,4.5,4.5
Chip,100,5.0,Manhattan,40.82816,-73.95375,Private room,1,1.5,1.5 shared baths,1.0,50.0,24,4.83,4.92,4.75,5.0,4.88,4.63
Mary,63,23.0,Queens,40.6999219367324,-73.82786251290771,Private room,1,1.0,1 shared bath,1.0,45.0,1,3.0,3.0,2.0,4.0,3.0,2.0
Kaz,78,366.0,Queens,40.74138,-73.8921,Private room,1,1.0,1 shared bath,1.0,24.0,9,4.89,4.89,4.56,5.0,4.44,4.56
Aminah,95,5.0,Brooklyn,40.66958,-73.88896,Entire home/apt,2,1.0,1 bath,1.0,120.0,153,4.82,4.88,4.87,4.93,4.38,4.79
Brady,97,12.0,Brooklyn,40.68879,-73.92859,Private room,2,2.0,2 shared baths,1.0,98.0,525,4.85,4.94,4.79,4.95,4.63,4.85
Dierdre,13,1.0,Staten Island,40.63358,-74.11297,Entire home/apt,6,1.0,1 bath,2.0,159.0,93,4.91,4.95,4.92,4.99,4.77,4.9
J,100,3.0,Brooklyn,40.67242,-73.95389,Entire home/apt,5,1.0,1 bath,2.0,99.0,126,4.87,4.9,4.77,4.95,4.88,4.81
Ross,83,1.0,Manhattan,40.80871,-73.94256,Entire home/apt,2,1.0,1 bath,1.0,95.0,13,5.0,5.0,4.85,4.85,4.85,5.0
Loretta,57,2.0,Brooklyn,40.67714,-73.95366,Private room,1,1.0,1 private bath,1.0,52.0,63,4.68,4.76,4.56,4.97,4.77,4.69
Jared,71,1.0,Manhattan,40.76022,-73.96688,Entire home/apt,2,1.0,1 bath,1.0,644.0,31,4.97,4.9,4.68,5.0,5.0,4.81
Jeniffer,90,77.0,Manhattan,40.71988,-73.99556,Entire home/apt,2,1.0,1 bath,0.0,190.0,28,4.89,4.82,4.86,4.64,4.79,4.71
RoomPicks,88,3117.0,Manhattan,40.76081,-73.98592,Private room,4,1.0,1 bath,1.0,205.0,1,5.0,5.0,5.0,5.0,5.0,5.0
Patrick,96,1.0,Brooklyn,40.64133592616302,-73.94385342281035,Entire home/apt,3,2.0,2 baths,2.0,120.0,1,5.0,5.0,5.0,5.0,5.0,5.0
Vigil,92,3.0,Manhattan,40.80767,-73.94976,Private room,1,1.0,1 shared bath,1.0,75.0,27,4.96,4.93,5.0,4.85,4.67,4.81
Stay With Vibe,74,330.0,Manhattan,40.76285,-73.96304,Entire home/apt,2,1.0,1 bath,1.0,92.0,5,4.4,4.0,4.2,4.6,4.8,4.0
An Artful Hotel,90,18.0,Manhattan,40.75436,-73.99391,Private room,2,1.0,1 private bath,1.0,302.0,16,4.63,4.81,4.75,4.81,4.63,4.69
Albert,98,9.0,Manhattan,40.80859989651688,-73.95400820240744,Entire home/apt,4,1.0,1 bath,1.0,168.0,9,4.67,4.67,4.67,4.56,4.78,4.67
Rafael,80,5.0,Brooklyn,40.71075,-73.96164,Entire home/apt,3,1.0,1 bath,1.0,95.0,56,4.61,4.57,4.41,4.7,4.8,4.66
Diego,100,2.0,Queens,40.71966,-73.90185,Private room,4,1.5,1.5 baths,1.0,80.0,66,4.88,4.87,4.87,4.87,4.72,4.81
