host_name,host_acceptance_rate,host_total_listings_count,neighbourhood,neighbourhood_group,latitude,longitude,room_type,max_capacity,bathrooms,bathrooms_text,bedrooms,price,number_of_reviews,rating,accuracy,cleanliness,communication,location,value
Ismail,100,2.0,Sunnyside,Queens,40.74017,-73.92447,Entire home/apt,2,1.0,1 bath,2.0,249.0,81,4.8,4.86,4.58,4.96,4.89,4.81
Davis,50,1.0,Bedford-Stuyvesant,Brooklyn,40.6843,-73.93107,Private room,2,1.0,1 private bath,1.0,60.0,48,4.73,4.67,4.79,4.65,4.58,4.71
Crystal,100,3.0,Olinville,Bronx,40.8803,-73.86509,Private room,2,1.0,1 shared bath,1.0,40.0,36,4.97,4.86,4.94,4.97,4.75,4.86
Raíza,71,3.0,Vinegar Hill,Brooklyn,40.70116,-73.98069,Entire home/apt,4,1.0,1 bath,2.0,950.0,10,4.9,4.8,4.8,5.0,4.9,4.8
Nerissa,87,2.0,Bedford-Stuyvesant,Brooklyn,40.67977,-73.90954,Entire home/apt,4,1.5,1.5 baths,1.0,95.0,29,4.86,4.76,4.72,4.9,4.52,4.72
Dan,100,3.0,East Village,Manhattan,40.72198,-73.98404,Entire home/apt,5,2.0,2 baths,2.0,1275.0,23,4.48,4.43,4.48,4.57,4.52,4.39
John,84,3.0,Vinegar Hill,Brooklyn,40.69942206736262,-73.98471948744731,Private room,1,1.0,1 shared bath,1.0,300.0,33,4.97,5.0,5.0,5.0,4.88,4.94
Carolina,99,3.0,Rego Park,Queens,40.71827,-73.85847,Private room,1,1.0,1 shared bath,1.0,65.0,34,4.85,4.82,4.94,4.91,4.65,4.82
Millennium Downtown,99,8.0,Financial District,Manhattan,40.71009510338199,-74.00954951600082,Entire home/apt,2,1.0,1 bath,1.0,213.0,13,4.08,3.92,4.38,4.46,4.77,3.85
Autumn,100,3.0,Clinton Hill,Brooklyn,40.69485,-73.96223,Private room,2,1.0,1 shared bath,1.0,108.0,176,4.74,4.75,4.58,4.88,4.54,4.63
Wapt,90,40.0,Murray Hill,Manhattan,40.74708340246032,-73.97692221810243,Entire home/apt,4,1.0,1 bath,1.0,135.0,3,5.0,4.67,5.0,4.67,5.0,4.67
Carol,100,3.0,East New York,Brooklyn,40.67087,-73.87824,Private room,1,1.5,1.5 shared baths,1.0,52.0,22,4.5,4.73,4.55,4.5,4.09,4.45
Urban Furnished,69,357.0,Upper East Side,Manhattan,40.77242660522461,-73.95455169677734,Entire home/apt,4,1.0,1 bath,1.0,138.0,4,4.75,4.75,5.0,5.0,5.0,4.0
Johny,50,6.0,Bedford-Stuyvesant,Brooklyn,40.68418,-73.94205,Entire home/apt,6,2.0,2 baths,3.0,115.0,4,5.0,5.0,4.75,5.0,4.0,5.0
Claudia,100,1.0,Upper West Side,Manhattan,40.77831,-73.98267,Entire home/apt,10,4.0,4 baths,5.0,1000.0,24,4.96,4.96,4.96,5.0,5.0,4.88
Dani,100,3.0,South Slope,Brooklyn,40.66807,-73.98729,Entire home/apt,3,1.0,1 bath,2.0,150.0,4,5.0,5.0,5.0,5.0,5.0,4.75
Daniel,78,3.0,Harlem,Manhattan,40.82657,-73.95321,Private room,2,1.5,1.5 baths,2.0,202.0,9,4.89,4.89,4.56,4.89,4.56,4.67
Fernando,92,1.0,East Harlem,Manhattan,40.79798194936299,-73.93857156085205,Entire home/apt,2,1.0,1 bath,1.0,146.0,11,4.91,4.64,4.18,5.0,4.36,4.64
Jorge,91,1.0,East Harlem,Manhattan,40.78771,-73.95246,Private room,2,1.0,1 shared bath,1.0,128.0,52,4.87,4.88,4.9,4.9,4.94,4.87
Jessica,35,9.0,Bedford-Stuyvesant,Brooklyn,40.67892,-73.93489,Private room,1,1.0,1 shared bath,1.0,49.0,1,3.0,5.0,4.0,3.0,3.0,4.0
Abel,25,7.0,Gramercy,Manhattan,40.73506,-73.98142,Entire home/apt,4,1.0,1 bath,2.0,230.0,58,4.69,4.72,4.33,4.76,4.83,4.62
Shelieza,86,2.0,Rosedale,Queens,40.65865,-73.73462,Private room,2,2.0,2 baths,2.0,120.0,62,4.94,4.95,4.97,5.0,4.76,4.9
Rose Pauline,47,29.0,Hell's Kitchen,Manhattan,40.75484607988045,-73.99398853491273,Entire home/apt,8,1.0,1 bath,4.0,117.0,8,4.25,4.25,4.0,4.75,4.88,4.38
Amy,95,2.0,Prospect Heights,Brooklyn,40.67678019937372,-73.96825856400407,Private room,2,1.0,1 private bath,1.0,395.0,1,5.0,5.0,5.0,5.0,5.0,5.0
Magdalene,100,2.0,East Flatbush,Brooklyn,40.64233345031224,-73.9290332418603,Entire home/apt,5,1.0,1 bath,2.0,140.0,14,4.71,4.79,4.86,4.86,4.57,4.85
Sonskeshana,100,2.0,Harlem,Manhattan,40.82981,-73.94132,Private room,1,1.0,1 shared bath,1.0,75.0,21,4.95,5.0,4.81,5.0,5.0,5.0
H Two E,94,4.0,Bushwick,Brooklyn,40.68989,-73.90914,Private room,2,1.0,1 shared bath,1.0,94.0,5,3.8,4.8,4.0,5.0,4.8,4.0
Millennium Broadway,94,16.0,Theater District,Manhattan,40.75593,-73.98531,Private room,2,1.0,1 private bath,1.0,223.0,485,4.39,4.35,4.4,4.53,4.85,4.27
Michelle,99,3.0,Crown Heights,Brooklyn,40.67111,-73.94625,Private room,2,1.0,1 shared bath,2.0,125.0,7,3.5,3.63,3.13,3.63,4.13,3.63
Scott,0,1.0,Williamsburg,Brooklyn,40.7209,-73.95605,Entire home/apt,4,1.0,1 bath,1.0,288.0,13,4.92,5.0,4.77,5.0,5.0,4.92
Shai,91,9.0,Chelsea,Manhattan,40.74286956018226,-73.99838537387079,Entire home/apt,6,1.0,1 bath,2.0,206.0,2,5.0,5.0,5.0,5.0,5.0,5.0
Jonathan,50,3.0,Kew Gardens Hills,Queens,40.7278573,-73.82759039999999,Entire home/apt,5,1.0,1 bath,2.0,169.0,2,5.0,4.0,4.0,5.0,5.0,4.0
Mari,88,2.0,Upper West Side,Manhattan,40.78192689947972,-73.97302295062573,Entire home/apt,2,1.0,1 bath,1.0,116.0,104,4.73,4.88,4.79,4.87,4.93,4.67
Jenny,100,2.0,Brighton Beach,Brooklyn,40.583878,-73.962097,Private room,2,2.0,2 shared baths,1.0,55.0,12,4.75,4.83,4.75,4.67,4.83,4.92
Nancy,100,9.0,Bedford-Stuyvesant,Brooklyn,40.68936,-73.93685,Entire home/apt,6,2.0,2 baths,3.0,200.0,378,4.81,4.92,4.9,4.98,4.25,4.78
Sheneca,90,4.0,East Harlem,Manhattan,40.8056,-73.93753,Entire home/apt,15,0.5,Half-bath,3.0,400.0,1,5.0,5.0,5.0,5.0,5.0,5.0
An Ting,97,3.0,Greenwich Village,Manhattan,40.72849,-73.99836,Entire home/apt,3,1.0,1 bath,1.0,199.0,7,4.43,4.29,4.57,4.29,4.71,4.14
Boomerang,99,59.0,Chelsea,Manhattan,40.74616613633807,-73.99184224376063,Entire home/apt,4,1.5,1.5 baths,2.0,362.0,2,5.0,5.0,4.5,5.0,4.5,5.0
Byron,71,3.0,Harlem,Manhattan,40.82498,-73.95343,Private room,2,1.0,1 shared bath,1.0,127.0,18,4.94,4.83,5.0,4.89,4.5,4.56
